,id,comment_text
18523,1f2064c453c07bed,""" 
 :::I don't know of any modern historian who seriously believes Anne was actually guilty of any of the adulteries or acts of treason with which she was charged. All that was manufactured by Cromwell, as some of his co-conspirators later confirmed (including Chapuys, who was always eager to slander Anne). Anne can be seen as guilty of damaging Henry's public image, questioning his decisions (especially regarding the way the monasteries' confiscated wealth was spent), not producing a male heir, and generally being too self-confident. Her other mistake was simply being the wrong person in the wrong circumstances at a particular stage in Henry's life, and of being a victim (like Wolsey, More, and Cromwell) of his """"borderline"""" personality. I don't regard her as a martyr; she was certainly intelligent, educated, and ambitious, she played the power game, and she eventually lost. But if she had produced a son who lived, it would have been a different story and Henry VIII almost certainly would have stopped at two wives.   """
77155,80a3bbe38d52dacf,""" 

 I think the statement """"peaceful"""" is inaccurate since they took arms against the mexican army, I will say that it is an Insurgent revolutionary group based in Chiapas."""
74249,7bb6c7cbda258641,"::Understood.  And I'll take my lumps, if needed."
43243,47a11f729f992f76,"== Origianl research == 

 Until you can substantial your claims through a legitimate 3rd party source, your comtributions violate the standards of original research.  Kindly desist in your edits of the page Swami Rama or you will be banned for vandalism."
86585,907514d82891a6ac,"== GODDAMNIT UNBLOCK THIS IMMIDEATLY! == 
 YOU can't block an entire IP adress because some retard screwed up 2 years ago! This is a school's network! We can stop the ONE person from vandalising wikipedia, but you don't have to make us all suffer!!!"
149333,f99f75770c401651,""":: Well I think this is in the same category as prejudice and stereotypes.  The purpose of advertising is not to inform, but to manipulate.  I do not recall the last time I felt I was informed by any commercial in any way.  As far as deception is concerned; well I think most advertisements do that.  The whole """"a part of a healthy diet"""" nonsense is usually applied to  food which is *not* part of any known medically approved """"healthy diet"""".  """"5 hour energy"""" contains 0 calories  which always makes me laugh.  It is at best an energy *catalyzer*, in which case they should explain that  obviously they don't.  And the list just goes on and one.  The problem is that these are not just run of the mill misconceptions.  These, essentially, are active, sustained, intentional attempts at deception by corporations.  It is a general phenomenon, like stereotypes, which I think is more general than merely a misconception.    

 """
8341,0dfb9b0cd26104cb,""" 

 :Please request unblocking with the """"unblock-ip"""" template provided for you in your block message. Without that information we are unable to review your situation.  (// """
125353,d168e39c7b18b390,""" 

 == Consensus vs. supermajority == 

 A consensus is not 66% nor 80%, nor 100%.  You're confusing a supermajority with consensus.  Consensus is a decision or resolution that all parties in a dispute or discussion can accept, even if they disagree.  Please take care to note the difference.  In day to day matters, such as VfD and RFA, a supermajority serves as a practical substitute for real consensus.  However, such operational conveniences do not change the proper definition of consensus.   

 Jimbo's decision forced a consensus that was probably already developing, but had clearly not been reached at the time he announced his opinion.  Regardless of its history, it's now a fact of Wikipedia life that virtually everyone accepts, and I don't intend to argue it further.   """
1125,01dd12f5c12feb5c,"== Please restore the article about the National Research Center for Women & Families == 

 Dear Julian, 

 The National Research Center for Women & Families was described in a short wikipedia article, because it is frequently quoted in the media around the world (and in wikipedia).  I'm not sure why you deleted it, but apparently you thought it was too much like advertising.  However, the article seems no different than articles for many other think tanks and nonprofit organizations.  If there is a problem, let's revise it rather than delete the entire article. 
 
 I hope that we can discuss this.  The Center is a think tank that does not accept money from companies whose medical products it reviews or evaluates.  It does not sell anything  all the Center's work is provided for free.  Center staff have testified before the Canadian Parliament, the U.S. Congress, and many scientific organizations and agencies. They are often quoted in the New York Times, Washington Post, Wall Street Journal, and major media in many other countries as well.  If you google it, you'll see what I mean."
152705,ff37eca3c02bb566,أسف أخي أي قبل الاسلام ، ولست عربية
152935,ff9c0886253e78f4,""" 

 == This is unfair == 

 Dual Helix, RRaunak roy or whoever it is, this is toatlly unfair. I have always tried to help and correct you inspite of your eccentric and immature behaviour but you keep vandalising my pages ? Disgusting !    - """
73138,79d92ff36249f959,:if thats the case then youre a stupid fucking retard
84340,8ca2211f5248958d,"== Clarification needed == 

 I'm not sure how best to do this, but it needs to be clarified why there are two columns under a lot of the episodes, as the keys beneath the tables really don't do this."
124249,cf83b971bc21b0a7,"==NWA Champ again!!!!!== 
 God dammit that jack off Cornette gave the title back to Jarret. Jarret has been the champ 6 times already. Give somebody else a chance to have it."
110447,b8324520adbe5f0e,""" 

 == Bangladesh == 

 Would you mind looking at the latest edits to Bangladesh? I cannot judge the change from """"Bangla"""" to """"Bengali"""" (although I seem to recall recent discussions that support the use of the English term """"Bengali"""" over the Bengali name """"Bangla"""" in the article, and anyway, there will be other editors who can judge that), but I wonder why the change from """"while"""" to """"although"""" in one instance and from """"while"""" to """"whereas"""" in another instance. I think some people think that """"while"""" has only one meaning and is only to be used for expressing two actions taking place simultaneously, while I feel that the other use is an elegant and concise way of expressing """"although"""" or """"whereas"""". Also, be sure to look at the single edit made just before these edits by the same editor.   """
39976,425c7279afb3f04a,What insecticide do you mean?
63823,6a57af60309fbe81,"::Anyone can remove anything from his own user talk page, for any reason or no reason. He says you can take it to the article's talk page. So take it to the article's talk page."
109016,b5e0a8626effb9a7,"Since i've nbeen watching this, if i'm the audience you're showing me wikilawyering at it's worst."
26245,2bb0e4533554804c,"::Ναι όμως, μιά από 'δώ, μιά από 'κεί, τελικά μόνο αυτή η φωτό στη σελίδα των Ελλήνων έχει μείνει.  Καί σού πάω στοίχημα ό,τι αργά η γρήγορα θα βρεθεί κάποιος που θα θέλει να τη βγάλει και αυτή."
40584,4368af210a0dba79,:Actually it looks like the correct date is May. People have been uploading updated graphs without updating the text that accompanies it. –
