comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate,llama_similarity
"""|decline=I would agree that you haven't violated Wikipedia:Three-revert rule, but I am uncomfortable in unblocking you since you have also been disregarding Wikipedia:Biographies of living persons. I suggest you take the next 24 hours to familiarise yourself with this policy instead of resuming your edit war.   ►  }}""",0,0,0,0,0,0,0.67225206
"""

Memo to Ernest The Sheep
(The following was left on Ernest The Sheep's talk page and is copied here because it relevant to the article)  
 TABTAB
Your recent edit to the New Zealand section of the horse article removed the names of Phar Lap and Tulloch. When I restored those names in the edit previous to yours, my edit summary said """"Read two paragraphs above - """"The bloodstock industry is important to New Zealand, with the export sale of horses"""". That includes Tulloch and Phar Lap"""". And yet you still reverted by eliminating those two horses, leaving the edit summary """"Will it never end?, LOL""""''. You didn't give a reason for the revert. All you did was disrupt wikipedia. I have reverted to the version which includes Phar Lap and Tulloch who are both products Trelawney Stud Retrieved on 30 April 2009of the New Zealand horse racing stud industry. Read the cites. Where they later raced can never preclude them from being part of the NZ horse industry. So please don't revert again.  """,0,0,0,0,0,0,0.74228925
"""When editing an article on Wikipedia there is a small field labelled """"Edit summary"""" under the main edit-box. It looks like this:

The text written here will appear on the Recent changes page, in the page revision history, on the diff page, and in the watchlists of users who are watching that article. See m:Help:Edit summary for full information on this feature.

When you leave the edit summary blank, some of your edits could be mistaken for vandalism and may be reverted, so please always briefly summarize your edits, especially when you are making subtle but important changes, like changing dates or numbers. Thank you. –   """,0,0,0,0,0,0,0.53951025
I regard you a racist. I will request you be banned from life.,1,0,0,0,0,0,0.8553658
su.cked my c.ock last night,1,1,1,0,1,0,0.60908115
Ajohnson170 is a son of a bitch and a dog-eating motherfucker.,1,1,1,0,1,0,0.82599473
"""

You still blow me off. If you are not even going listen to me, I'm done with you. I'd rather talk to someone else. I give you  all these reasons, and you comes off as """"Sorry, idiotic person lower than me. I dont care what you say"""". Your being one huge ass prick. I'm going ignore that part of the rule, partially by your attitude. PERIOD.   JUSTICE IS SERVED! """,1,0,1,0,1,0,0.86019695
""" 2007 (UTC)

 TedFrank, your response here is insufficient in light of the history of objections to your deletions of others' work, and in light of the sincerity and length of the editor asking the question. You have a history of taking unilateral actions without discussion or consensus and then giving impoverished responses as you """"reason."""" See similar expressions of concern from other editors above and below this post. Please stop. This is a warning.  04:29, 28 July""",0,0,0,0,0,0,0.7020964
"SHUT UP, FAG 

LOL YOU WILL BAN ME HUH?
OOH IM SHAKIN IM SHAKIN

FUCKING FAGGOT YOU NEED TO GO BACK TO HIGH SCHOOL 
OR GET SOME FUCKING BRAINS

ASSWIPE!",1,0,1,0,1,0,0.6063626
"""""""Please do not add defamatory content to Wikipedia, as you did to List of WWE Intercontinental Champions.""""

What a fucking hypocrite. The fact that you left me a message telling me what a fucking douchebag I am just goes to show what a massive tool you are. Just for your information, that 100 day rule was something I started 2 years ago.

""",1,0,1,0,1,0,0.85842776
His name is fucking Cohen. Enough said.,1,0,1,0,0,0,0.77284527
"LOL what a load of unsourced, unscientific bullcrap 
What about making this article more scientific so people can actually use it?? There is no technical info.  Come on, it doesn't take an university degree to describe it. It's merely selective breeding, it is well documented and has been practiced for 1000's of years with animals. It shouldn't be hard to describe the science behind it as the mechanisms are exactly the same with humans. There are no principal differences between breeding an intelligent search dog and an intelligent human, the method is the same. 93.161.107.169",1,0,0,0,0,0,0.7802858
"The entire demographics section is laughable. I check up on it every 4 months or so to see what revision is in favour at present. Some residents decided to emigrate while others ran for their lives as cannibalistic soldiers approached... Please. Even within the section itself there are contradictions regardless of the POV wording. I am not going to bother dealing with it, but I would hope that someone with administrative rights decides to block those editors that are perverting the article. Just trying to spread some common sense.",0,0,0,0,0,0,0.7886701
"You're being a jerk! 

Why do you insist on deleting the Radioactive Friends of the Deep page!?  This comic series is legitamet and one of the reasons you don't get anything on Google is because it's all in a different language and Google doesn't do different languages!!  Can we please just leave the page?  We are currently trying to get more soild information and trying to find a link that well let people view the actually comics.
Thank you for your time!",1,0,0,0,0,0,0.8573572
"""Concerning one point of disagreement concerning policy formulation in the above discussion, I would suggest that the normal approach is:
Yes, knowing something to be untrue, is generally accepted as a reason to tag or remove material. In fact, the extreme argument, which I do not have much sympathy with, is that questioning un-sourced material is always acceptable, no matter what the intention. (But then people generally add some proviso when arguing this extreme version, such as """"except when we are talking about obvious behavior issues"""".)
Trying to formulate what less extreme people think, I would say that believing something to be unlikely to be something that people could come to a consensus about being true is a valid reason for tagging or removing material.
This is perfectly consistent with our real way of working: verifiability, the ability to confirm that something is what rational people could agree to be true, is our threshold for inclusion, but not personal opinions about what is true.  

""",0,0,0,0,0,0,0.6775695
"Arg. 

THis shit is not CREDIBLE!",1,0,1,0,0,0,0.80304205
"""

""""Wikipedia is no place for cruelty, even a clichéd one!""""  Agreed. I have tagged it for cleanup. It obviously needs a wider set of views. Also, my lack of response was because I was absent from WP.   (talk - contribs) """,0,0,0,0,0,0,0.7882776
"""
Everywhere. Though I might just start going thru the secure server all the time, because I have a similar issue with the popups userinfo grabber. –xenotalk """,0,0,0,0,0,0,0.70308644
